Month,EPU_Index
2010-05-01,193.0605610934477
2010-06-01,126.43463080788092
2010-07-01,98.22082735259424
2010-08-01,120.69989179633195
2010-09-01,77.85170187249287
2010-10-01,70.00702389730758
2010-11-01,96.54173477783239
2010-12-01,73.83018323834021
2011-01-01,59.41682963443371
2011-02-01,39.04770415433235
2011-03-01,54.31766794693698
2011-04-01,50.936574335196205
2011-05-01,108.63533589387396
2011-06-01,81.47650192040548
2011-07-01,54.31766794693698
2011-08-01,81.47650192040548
2011-09-01,54.00113604025101
2011-10-01,88.69371993725275
2011-11-01,56.975891456155594
2011-12-01,152.5522165202794
2012-01-01,92.25354567760051
2012-02-01,72.08650074819485
2012-03-01,36.93904391470655
2012-04-01,120.59734168535772
2012-05-01,118.49660275447965
2012-06-01,101.0369218028816
2012-07-01,83.20977477640619
